Hashtag	Account	Type	Posts
#SPiCollective	streetphotographyinternational	feature	6,673,618
#life_is_street	life_is_street	feature	5,345,367
#bnw_demand	bnw_demand	feature	5,014,265
#capturestreets	capturestreets	feature	4,600,000
#streetleaks	streetleaks	feature	4,385,120
#storyofthestreet	storyofthestreet	feature	3,826,462
#streets_storytelling	streets_storytelling	feature	3,067,575
#fromstreetswithlove	fromstreetswithlove	feature	3,008,010
#streetclassics	streetclassics	feature	2,569,476
#bnw_city	bnw_city	feature	2,500,000
#thestreetphotographyhub	thestreetphotographyhub	feature	2,390,525
#friendsinperson	friendsinperson	feature	2,200,000
#lensonstreet	lensonstreet	feature	1,700,000
#challengerstreets	challengerstreets	feature	1,300,000
#dreaminstreets	dreaminstreets	feature	1,100,000
#apfmagazine	apfmagazine	feature	1,100,000
#urbanstreetphotogallery	urbanstreetphotogallery	feature	1,064,953
#streetfinder	street.finder	feature	1,009,911
#gf_streets	globalfotografia_streets	feature	958,000
#friendsinbnw	friendsinbnw	feature	875,000
#streethunters	the_streethunters	feature	830,260
#sweet_street_beat	sweet_street_beat	feature	781,000
#eyephotomagazine	eyephotomagazine	feature	774,000
#bnw_lightandshadow	bnw_lightandshadow.new	feature	548,730
#streets_unseen	streets_unseen	feature	511,000
#streetscenesmag	streetscenesmag	feature	498,000
#street_avengers	street_avengers	feature	487,202
#sublimestreet 	sublime.street 	feature	397,747
#therawsociety	the_raw_society	feature	358,000
#thestreephers	streephers	feature	334,876
#streetphotographybnw	streetphotographybnw	feature	293,968
#streetphotomag	streetphotomag	feature	286,000
#curiouscameraclub	thecuriouscameraclub	feature	285,000
#streetmoment	streetmoment	feature	274,000
#peraphotogallery	peraphotogallery	feature	234,000
#mydaidia	mydaidia	feature	229,000
#badass_bnw	badass_bnw	feature	207,171
#bestofstreet	bestofstreet	feature	193,000
#sharing_streets	sharing_streets	feature	151,321
#lotsmagazine	lotsmagazine	feature	133,000
#myspc	myspc.newstart	feature	3,200,000
#tnscollective	thenorthernstreetcollective	feature	97,379
#f22bestphoto	f22bestphoto	feature	93,700
#sageofstreet	sageofstreet	feature	90,800
#streetphotocollective	streetphotocollective	feature	82,100
#streetouss	streetouss	feature	78,649
#thepictoriallist	thepictorial.list	feature	74,889
#lacalle_spc	lacalle_spc	feature	72,926
#dailymomentums	dailymomentums	feature	71700
#fineartstreet	fineartstreet	feature	69,500
#we_lookmag	welookmag	feature	55,200
#progressivestreet	progressivestreet	feature	51,200
#littleboxcollective	littleboxcollective	feature	50,059
#woofermagazine	woofermagazine	feature	43,800
#street_macadam	street_macadam	feature	34,033
#thephotosector	thephotosector	feature	31,985
#phmuseum	phmuseum	feature	31,600
#lcen	lacalleesnuestra	feature	16,600
#vipphotomagazine	vipphotomagazine	feature	11,200
#blackandwhite	N/A	standard	164,236,015
#blackandwhitephotography	N/A	standard	32,264,719
#photography_souls	N/A	standard	9,600,000
#documentary	N/A	standard	6,465,377
#streetphotographer	N/A	standard	6,400,000
#cityphotography	N/A	standard	6,272,162
#farmersmarket	N/A	standard	5,364,522
#photojournalism	N/A	standard	5,008,222
#streetphotographers	N/A	standard	4,400,000
#documentaryphotography	N/A	standard	4,236,869
#streetlife	streetlife	standard	4,000,000
#bnwphoto	N/A	standard	2,268,469
#street_photography	N/A	standard	2,136,494
#streetphotos 	N/A	standard	1,858,741
#monochromephotography	N/A	standard	1,823,666
#reportage	N/A	standard	1,735,079
#streetphotography_bw	N/A	standard	1,466,643
#streetscene	streetscene	standard	1,300,000
#hobbyphotography	N/A	standard	961,000
#hobbyphotographer	N/A	standard	851,000
#photodocumentary	N/A	standard	633,000
#igblacknwhite	N/A	standard	611,000
#photography_top	N/A	standard	597,000
#fotografiacallejera	N/A	standard	542,917
#bw_photography	N/A	standard	538,209
#photostory	N/A	standard	530,000
#streetshooter	N/A	standard	465,000
#fotoperiodismo	N/A	standard	455,177
#documentaryphotographer	N/A	standard	425,000
#street_photo	N/A	standard	391,131
#urbanstreetphotography	N/A	standard	370,000
#streetmarket	N/A	standard	300,092
#streetphotographycommunity	N/A	standard	278,060
#blackandwhitephotograph	N/A	standard	258,000
#blackandwhitephotographer	N/A	standard	242,000
#bnwstreetphotography	N/A	standard	225,000
#documentaryphoto	N/A	standard	216,131
#perspectivephotography	N/A	standard	182,000
#fotografiablancoynegro	N/A	standard	166,876
#photoreportage	N/A	standard	143,000
#photoessay	N/A	standard	139,424
#bnwphotographer	N/A	standard	137,087
#photographyblackandwhite	N/A	standard	103,000
#urbanpeople	N/A	standard	71,800
#candidstreet	N/A	standard	65,100
#photocollective	N/A	standard	44,200
#citypeople	N/A	standard	43,900
#randomstreet	N/A	standard	37,400
#fotoperiodista	N/A	standard	35,623
#socialdocumentaryphotography	N/A	standard	24,000
#photojournalists	N/A	standard	21,477
#fotostory	N/A	standard	19,000
#urbanstreetgallery	N/A	standard	14,700
#photographyistherapy	N/A	standard	5,000
#documentalphotography	N/A	standard	103,000
